"","Model","Protected_Var","Group","Reference_Group","Group_Status","n_group","n_reference","events_group","events_reference","prevalence_group","prevalence_reference","AUC_group","AUC_reference","AUC_parity_group_over_reference","PR_AUC_group","PR_AUC_reference","PR_AUC_parity_group_over_reference","ECE_group","ECE_reference","ECE_parity_group_over_reference","xAUC_group_positive_vs_reference_negative","xAUC_reference_positive_vs_group_negative","xAUC_parity_group_over_reference","xAUC_abs_gap"
"11","M1_ALC_related_vs_non_ALC","Ethnic_minority","1","0","Equity-seeking/comparison",10355,51514,2897,15477,0.279768227909223,0.300442598128664,0.862097704572831,0.858132064302422,1.0046212470497,0.70705149253869,0.725540357130737,0.97451711071571,0.119827863880424,0.122671923700414,0.976815723319578,0.849954188820375,0.869743540935049,0.977246911091287,0.0197893521146744
"12","M2a_ALC_high_need_vs_ALC_community_return","Sex","F","M","Equity-seeking/comparison",10294,8080,5854,5092,0.568680784923256,0.63019801980198,0.674812517505548,0.654207889426257,1.03149553591804,0.735708752350739,0.76471456256261,0.962069755655403,0.0822805453660755,0.0908300331694694,0.905873778693415,0.555677498743408,0.763256087981147,0.728035462138539,0.207578589237739
"13","M2a_ALC_high_need_vs_ALC_community_return","Age",">80","<80","Equity-seeking/comparison",10279,8095,6215,4731,0.604630800661543,0.584434836318715,0.663954958792862,0.677456367808049,0.980070437511907,0.755272869237316,0.745005816345446,1.01378117145747,0.0800927938234332,0.093325510841708,0.858209005244888,0.724171603548241,0.612524122598974,1.18227442288402,0.111647480949267
"14","M2a_ALC_high_need_vs_ALC_community_return","Income","1","0","Equity-seeking/comparison",4366,14008,2599,8347,0.595281722400366,0.595873786407767,0.642519553360931,0.678693471588418,0.946700653915492,0.730376091247144,0.757385485771161,0.964338642565197,0.0776039876604206,0.0885154788584595,0.876727874731527,0.681799944932824,0.638492498787557,1.06782765064195,0.0433074461452669
"15","M2a_ALC_high_need_vs_ALC_community_return","Region","west","central","Equity-seeking/comparison",5994,3317,3594,1859,0.5995995995996,0.560446186312933,0.666815757744389,0.66220979611293,1.00695544170215,0.750842610677372,0.712493728112067,1.05382346686324,0.0867430564293774,0.081413866871443,1.06545800810996,0.71860451003158,0.606427738927739,1.18497961736082,0.112176771103841
"16","M2a_ALC_high_need_vs_ALC_community_return","Region","east","central","Equity-seeking/comparison",3546,3317,2068,1859,0.583192329385223,0.560446186312933,0.671383057244486,0.66220979611293,1.01385249989565,0.741887908052342,0.712493728112067,1.04125535254628,0.0710887187027175,0.081413866871443,0.873177032789395,0.720710188302781,0.608995407631819,1.18344108883412,0.111714780670962
"17","M2a_ALC_high_need_vs_ALC_community_return","Region","northwest","central","Equity-seeking/comparison",656,3317,389,1859,0.592987804878049,0.560446186312933,0.665183944234232,0.66220979611293,1.00449124754535,0.756794695731356,0.712493728112067,1.06217734398403,0.10072174691809,0.081413866871443,1.23715714274001,0.703931151946005,0.620117134378154,1.13515836431757,0.0838140175678506
"18","M2a_ALC_high_need_vs_ALC_community_return","Region","Toronto","central","Equity-seeking/comparison",3502,3317,2157,1859,0.615933752141633,0.560446186312933,0.68544912130127,0.66220979611293,1.03509359922603,0.779132727126132,0.712493728112067,1.09352924297403,0.0945597089034416,0.081413866871443,1.16146932380397,0.735845522886853,0.606106332900728,1.21405351329232,0.129739189986124
"19","M2a_ALC_high_need_vs_ALC_community_return","Region","northeast","central","Equity-seeking/comparison",1356,3317,877,1859,0.646755162241888,0.560446186312933,0.640442483985308,0.66220979611293,0.967129280999174,0.767884383825948,0.712493728112067,1.07774195551258,0.110877298685367,0.081413866871443,1.36189697094782,0.748669316303085,0.541221906405783,1.38329455523141,0.207447409897302
"20","M2a_ALC_high_need_vs_ALC_community_return","Rurality","Y","N","Equity-seeking/comparison",2571,15803,1616,9330,0.628549202644885,0.590394228943871,0.661478798403401,0.670751024661927,0.986176351704867,0.773312127633842,0.746503094788657,1.03591282210662,0.089219159460339,0.0853864063153936,1.04488715839367,0.726953583277376,0.598792051761194,1.21403345475149,0.128161531516182
"21","M2a_ALC_high_need_vs_ALC_community_return","Residential_Instability","1","0","Equity-seeking/comparison",7162,11212,4323,6623,0.603602345713488,0.590706386014984,0.678138029366421,0.664552239702191,1.02044352400395,0.764035927696993,0.741553582808549,1.03031789665596,0.0882185723722608,0.0848024938720588,1.04028275990746,0.688062155895125,0.654090687096644,1.05193694004309,0.0339714687984816
"22","M2a_ALC_high_need_vs_ALC_community_return","Ethnic_minority","1","0","Equity-seeking/comparison",2897,15477,1722,9224,0.594408008284432,0.595981133294566,0.679695554402353,0.668064359463052,1.01741029105137,0.754973236703725,0.749842347425741,1.00684262404704,0.0814290782108086,0.0868001421206992,0.93812148484248,0.67735524114511,0.670582661327527,1.01009954507946,0.00677257981758306
"23","M2b_non_ALC_high_need_vs_non_ALC_community_return","Sex","F","M","Equity-seeking/comparison",21495,22000,10001,9941,0.465270993254245,0.451863636363636,0.889002329974067,0.870331656332858,1.02145236646898,0.881413036833528,0.848027578802427,1.03936836355988,0.0261233468002755,0.0233500399383657,1.11877096866773,0.882505024230142,0.877856865511739,1.0052948936222,0.00464815871840252
"24","M2b_non_ALC_high_need_vs_non_ALC_community_return","Age",">80","<80","Equity-seeking/comparison",19020,24475,10743,9199,0.564826498422713,0.37585291113381,0.857955456068165,0.886555694246056,0.967740054726947,0.891543366556466,0.831044671173083,1.0727983675029,0.0238147141516651,0.0254245701716566,0.936681091986124,0.926339540606369,0.792887148343588,1.16831196285824,0.133452392262782
"25","M2b_non_ALC_high_need_vs_non_ALC_community_return","Income","1","0","Equity-seeking/comparison",9147,34348,4477,15465,0.489450092926643,0.450244555723768,0.870229089053306,0.882202979502533,0.986427284052045,0.869918424859725,0.864505314453843,1.00626151200621,0.0232190578029343,0.0251204581458171,0.924308691670921,0.887644489051238,0.864045454576923,1.02731226042485,0.0235990344743144
"26","M2b_non_ALC_high_need_vs_non_ALC_community_return","Region","east","central","Equity-seeking/comparison",9758,8611,4555,3640,0.466796474687436,0.422715131808152,0.880419786524409,0.881878134940899,0.998346315257507,0.869071723180351,0.850569770169748,1.02175242250487,0.0300194781988927,0.0287791175196642,1.04309932986586,0.897260400112088,0.863387880618325,1.03923209979448,0.0338725194937635
"27","M2b_non_ALC_high_need_vs_non_ALC_community_return","Region","west","central","Equity-seeking/comparison",13774,8611,6153,3640,0.446711195005082,0.422715131808152,0.872926973725781,0.881878134940899,0.989849888708583,0.854225600164963,0.850569770169748,1.00429809537492,0.0261782068627592,0.0287791175196642,0.909625072585081,0.883053058298835,0.871698105725792,1.01302624440555,0.0113549525730429
"28","M2b_non_ALC_high_need_vs_non_ALC_community_return","Region","Toronto","central","Equity-seeking/comparison",8011,8611,4089,3640,0.510423168143802,0.422715131808152,0.889334440269531,0.881878134940899,1.00845502913975,0.894870276654073,0.850569770169748,1.05208333053676,0.0142782560430073,0.0287791175196642,0.496132518074999,0.906332000732643,0.861988024723874,1.05144384230045,0.0443439760087687
"29","M2b_non_ALC_high_need_vs_non_ALC_community_return","Region","northeast","central","Equity-seeking/comparison",2562,8611,1179,3640,0.460187353629977,0.422715131808152,0.872171901994227,0.881878134940899,0.988993680008494,0.857112313258917,0.850569770169748,1.00769195346299,0.0296175665708181,0.0287791175196642,1.02913393889097,0.887394044064565,0.866152177540464,1.02452440468882,0.0212418665241012
"30","M2b_non_ALC_high_need_vs_non_ALC_community_return","Region","northwest","central","Equity-seeking/comparison",776,8611,324,3640,0.417525773195876,0.422715131808152,0.863460067737354,0.881878134940899,0.979114951971477,0.829777778736614,0.850569770169748,0.975555219380787,0.0422149590345448,0.0287791175196642,1.46686078910169,0.867362182137881,0.879183482446757,0.986554228389304,0.0118213003088756
"31","M2b_non_ALC_high_need_vs_non_ALC_community_return","Rurality","Y","N","Equity-seeking/comparison",6757,36738,3143,16799,0.465147254698831,0.457264957264957,0.86958642293439,0.881720400862729,0.98623829286873,0.853800657553313,0.867829491077442,0.983834573878433,0.0277235415798412,0.0242034734019868,1.1454364883664,0.88235385823676,0.868923915115642,1.01545583322946,0.0134299431211179
"32","M2b_non_ALC_high_need_vs_non_ALC_community_return","Residential_Instability","1","0","Equity-seeking/comparison",15927,27568,7761,12181,0.487285741194199,0.441852872896111,0.882561904898053,0.877867719190825,1.00534725859558,0.881572527457423,0.855072213826063,1.03099190127204,0.0223080172462712,0.0261144235140237,0.8542412293456,0.891924306171404,0.867396623099983,1.02827735596175,0.0245276830714211
"33","M2b_non_ALC_high_need_vs_non_ALC_community_return","Ethnic_minority","1","0","Equity-seeking/comparison",7458,36037,3508,16434,0.470367390721373,0.456031301162694,0.879334252269677,0.879958225914002,0.999290905379426,0.869057405640925,0.865054842932906,1.00462694676611,0.021141846386491,0.0258677359060458,0.81730563754324,0.882723951858298,0.876432234499948,1.00717878360777,0.00629171735834988
